tm; rg; carr
640272.6353;0.698097; 628705.471
641295.6353;0.698341; 630264.446
642318.6353;0.698594; 631822.670
643341.6353;0.698841; 633380.402
644364.6353;0.699089; 634938.004
645387.6353;0.699338; 636495.295
646410.6353;0.699583; 638052.301
647433.6353;0.699833; 639608.786
648456.6353;0.700077; 641164.929
649479.6353;0.700327; 642720.459
650502.6353;0.700572; 644275.657
651525.6353;0.700818; 645830.312
652548.6353;0.701061; 647384.442
653571.6353;0.701308; 648938.262
654594.6353;0.701553; 650491.410
655617.6353;0.701800; 652044.258
656640.6353;0.702043; 653596.907
657663.6353;0.702293; 655148.818
658686.6353;0.702541; 656700.327
659709.6353;0.702783; 658251.342
660732.6353;0.703032; 659802.151
661755.6353;0.703282; 661352.643
662778.6353;0.703525; 662902.645
663801.6353;0.703772; 664452.113
664824.6353;0.704021; 666001.224
665847.6353;0.704263; 667550.108
666870.6353;0.704513; 669098.372
667893.6353;0.704753; 670646.462
668916.6353;0.704994; 672194.182
669939.6353;0.705243; 673741.639
670962.6353;0.705487; 675289.120
671985.6353;0.705733; 676835.881
673008.6353;0.705983; 678382.442
674031.6353;0.706224; 679928.237
675054.6353;0.706471; 681473.468
676077.6353;0.706713; 683018.878
677100.6353;0.706961; 684564.042
678123.6353;0.707208; 686108.104
679146.6353;0.707449; 687652.580
680169.6353;0.707697; 689195.950
681192.6353;0.707939; 690739.522
682215.6353;0.708181; 692282.887
683238.6353;0.708428; 693826.147
684261.6353;0.708672; 695368.636
685284.6353;0.708916; 696910.654
686307.6353;0.709163; 698452.148
687330.6353;0.709406; 699993.054
688353.6353;0.709655; 701533.803
689376.6353;0.709897; 703074.071
690399.6353;0.710138; 704613.825
691422.6353;0.710387; 706153.282
692445.6353;0.710631; 707692.173
693468.6353;0.710873; 709230.668
694491.6353;0.711121; 710769.014
695514.6353;0.711368; 712307.072
696537.6353;0.711605; 713844.354
697560.6353;0.711850; 715381.093
698583.6353;0.712092; 716917.437
699606.6353;0.712343; 718453.440
700629.6353;0.712579; 719988.976
701652.6353;0.712825; 721524.241
702675.6353;0.713069; 723059.112
703698.6353;0.713316; 724593.362
704721.6353;0.713554; 726127.416
705744.6353;0.713797; 727661.137
706767.6353;0.714044; 729194.480
707790.6353;0.714290; 730727.700
708813.6353;0.714529; 732260.107
709836.6353;0.714779; 733791.945
710859.6353;0.715018; 735323.426
711882.6353;0.715261; 736854.918
712905.6353;0.715502; 738386.190
713928.6353;0.715744; 739916.873
714951.6353;0.715988; 741447.244
715974.6353;0.716227; 742977.121
716997.6353;0.716468; 744506.953
718020.6353;0.716712; 746036.270
719043.6353;0.716955; 747564.968
720066.6353;0.717203; 749093.022
721089.6353;0.717444; 750620.836
722112.6353;0.717686; 752148.350
723135.6353;0.717926; 753675.839
724158.6353;0.718170; 755202.888
725181.6353;0.718409; 756729.482
726204.6353;0.718651; 758255.732
727227.6353;0.718892; 759781.265
728250.6353;0.719142; 761306.224
729273.6353;0.719377; 762830.437
730296.6353;0.719625; 764354.485
731319.6353;0.719860; 765878.294
732342.6353;0.720104; 767401.937
733365.6353;0.720349; 768925.056
734388.6353;0.720588; 770447.547
735411.6353;0.720831; 771969.820
736434.6353;0.721075; 773491.609
737457.6353;0.721321; 775013.225
738480.6353;0.721562; 776534.579
739503.6353;0.721802; 778055.955
740526.6353;0.722040; 779576.345
741549.6353;0.722277; 781096.652
742572.6353;0.722521; 782616.389
743595.6353;0.722758; 784135.476
744618.6353;0.722999; 785654.089
745641.6353;0.723244; 787172.538
746664.6353;0.723487; 788690.684
747687.6353;0.723724; 790208.297
748710.6353;0.723973; 791725.847
749733.6353;0.724205; 793242.529
750756.6353;0.724451; 794759.086
751779.6353;0.724692; 796275.188
752802.6353;0.724929; 797791.081
753825.6353;0.725169; 799306.485
754848.6353;0.725418; 800821.569
755871.6353;0.725652; 802336.209
756894.6353;0.725885; 803850.567
757917.6353;0.726124; 805364.474
758940.6353;0.726368; 806878.403
759963.6353;0.726608; 808391.316
760986.6353;0.726845; 809904.122
762009.6353;0.727085; 811416.604
763032.6353;0.727325; 812928.494
764055.6353;0.727564; 814439.903
765078.6353;0.727809; 815950.939
766101.6353;0.728044; 817461.396
767124.6353;0.728287; 818971.265
768147.6353;0.728530; 820481.091
769170.6353;0.728767; 821990.872
770193.6353;0.729011; 823500.449
771216.6353;0.729247; 825009.728
772239.6353;0.729486; 826518.366
773262.6353;0.729731; 828026.517
774285.6353;0.729966; 829533.736
775308.6353;0.730207; 831040.352
776331.6353;0.730446; 832546.568
777354.6353;0.730683; 834053.141
778377.6353;0.730924; 835559.000
779400.6353;0.731165; 837063.982
780423.6353;0.731407; 838569.315
781446.6353;0.731638; 840074.613
782469.6353;0.731877; 841579.526
783492.6353;0.732113; 843083.522
784515.6353;0.732359; 844586.549
785538.6353;0.732596; 846089.559
786561.6353;0.732833; 847592.523
787584.6353;0.733079; 849094.720
788607.6353;0.733321; 850596.326
789630.6353;0.733549; 852097.502
790653.6353;0.733787; 853598.997
791676.6353;0.734032; 855099.360
792699.6353;0.734264; 856600.145
793722.6353;0.734505; 858100.307
794745.6353;0.734742; 859599.814
795768.6353;0.734978; 861098.760
796791.6353;0.735209; 862597.285
797814.6353;0.735445; 864095.976
798837.6353;0.735685; 865594.297
799860.6353;0.735917; 867091.894
800883.6353;0.736161; 868589.136
801906.6353;0.736401; 870085.765
802929.6353;0.736640; 871582.121
803952.6353;0.736876; 873078.629
804975.6353;0.737115; 874574.304
805998.6353;0.737355; 876069.796
807021.6353;0.737585; 877564.815
808044.6353;0.737829; 879059.492
809067.6353;0.738065; 880553.793
810090.6353;0.738302; 882047.619
811113.6353;0.738538; 883540.914
812136.6353;0.738771; 885033.471
813159.6353;0.739012; 886525.889
814182.6353;0.739244; 888018.196
815205.6353;0.739485; 889510.110
816228.6353;0.739717; 891001.382
817251.6353;0.739959; 892492.418
818274.6353;0.740193; 893983.295
819297.6353;0.740432; 895473.757
820320.6353;0.740671; 896963.732
821343.6353;0.740908; 898453.275
822366.6353;0.741141; 899942.753
823389.6353;0.741377; 901431.733
824412.6353;0.741615; 902919.692
825435.6353;0.741851; 904407.247
826458.6353;0.742087; 905894.312
827481.6353;0.742324; 907380.998
828504.6353;0.742559; 908867.794
829527.6353;0.742794; 910354.232
830550.6353;0.743028; 911839.890
831573.6353;0.743266; 913324.946
832596.6353;0.743506; 914809.609
833619.6353;0.743739; 916294.055
834642.6353;0.743974; 917778.004
835665.6353;0.744212; 919261.416
836688.6353;0.744442; 920744.742
837711.6353;0.744678; 922227.410
838734.6353;0.744914; 923709.597
839757.6353;0.745150; 925191.481
840780.6353;0.745381; 926672.833
841803.6353;0.745614; 928154.258
842826.6353;0.745850; 929635.928
843849.6353;0.746086; 931116.919
844872.6353;0.746321; 932596.802
845895.6353;0.746556; 934076.759
846918.6353;0.746791; 935556.502
847941.6353;0.747023; 937035.703
848964.6353;0.747257; 938514.196
849987.6353;0.747496; 939992.300
851010.6353;0.747730; 941470.156
852033.6353;0.747961; 942948.036
853056.6353;0.748197; 944425.016
854079.6353;0.748432; 945901.189
855102.6353;0.748666; 947376.424
856125.6353;0.748899; 948852.287
857148.6353;0.749135; 950327.739
858171.6353;0.749369; 951802.562
859194.6353;0.749603; 953277.013
860217.6353;0.749834; 954750.979
861240.6353;0.750074; 956224.509
862263.6353;0.750306; 957698.067
863286.6353;0.750538; 959171.302
864309.6353;0.750775; 960644.267
865332.6353;0.751008; 962116.080
866355.6353;0.751239; 963587.605
867378.6353;0.751477; 965058.779
868401.6353;0.751707; 966529.601
869424.6353;0.751941; 967999.961
870447.6353;0.752173; 969470.128
871470.6353;0.752408; 970940.095
872493.6353;0.752642; 972409.530
873516.6353;0.752870; 973878.674
874539.6353;0.753105; 975347.461
875562.6353;0.753338; 976815.899
876585.6353;0.753569; 978283.749
877608.6353;0.753804; 979751.209
878631.6353;0.754036; 981218.395
879654.6353;0.754268; 982685.242
880677.6353;0.754503; 984151.733
881700.6353;0.754734; 985617.824
882723.6353;0.754967; 987083.640
883746.6353;0.755199; 988549.025
884769.6353;0.755432; 990014.157
885792.6353;0.755665; 991478.371
886815.6353;0.755898; 992942.169
887838.6353;0.756129; 994405.504
888861.6353;0.756360; 995868.646
889884.6353;0.756595; 997331.508
890907.6353;0.756825; 998793.930
891930.6353;0.757060; 1000256.139
892953.6353;0.757291; 1001717.777
893976.6353;0.757521; 1003178.830
894999.6353;0.757754; 1004639.361
896022.6353;0.757983; 1006099.920
897045.6353;0.758216; 1007560.018
898068.6353;0.758449; 1009019.590
899091.6353;0.758676; 1010478.758
900114.6353;0.758907; 1011937.306
901137.6353;0.759138; 1013395.521
902160.6353;0.759372; 1014853.619
903183.6353;0.759602; 1016311.103
904206.6353;0.759837; 1017767.939
905229.6353;0.760067; 1019224.226
906252.6353;0.760299; 1020680.085
907275.6353;0.760529; 1022135.950
908298.6353;0.760760; 1023591.339
909321.6353;0.760994; 1025046.303
910344.6353;0.761224; 1026500.925
911367.6353;0.761455; 1027955.262
912390.6353;0.761687; 1029409.297
913413.6353;0.761918; 1030862.714
914436.6353;0.762145; 1032315.798
915459.6353;0.762375; 1033769.080
916482.6353;0.762606; 1035221.717
917505.6353;0.762832; 1036673.756
918528.6353;0.763064; 1038125.101
919551.6353;0.763294; 1039576.385
920574.6353;0.763525; 1041027.485
921597.6353;0.763757; 1042478.033
922620.6353;0.763986; 1043928.331
923643.6353;0.764216; 1045378.274
924666.6353;0.764447; 1046827.577
925689.6353;0.764676; 1048276.213
926712.6353;0.764905; 1049723.880
927735.6353;0.765136; 1051171.103
928758.6353;0.765364; 1052618.269
929781.6353;0.765596; 1054064.947
930804.6353;0.765823; 1055511.910
931827.6353;0.766055; 1056958.281
932850.6353;0.766286; 1058404.697
933873.6353;0.766514; 1059850.844
934896.6353;0.766747; 1061295.924
935919.6353;0.766972; 1062740.485
936942.6353;0.767206; 1064184.603
937965.6353;0.767435; 1065627.789
938988.6353;0.767664; 1067071.025
940011.6353;0.767891; 1068514.019
941034.6353;0.768121; 1069956.224
942057.6353;0.768349; 1071398.590
943080.6353;0.768577; 1072840.116
944103.6353;0.768809; 1074281.335
945126.6353;0.769037; 1075721.961
946149.6353;0.769264; 1077162.318
947172.6353;0.769493; 1078602.180
948195.6353;0.769722; 1080042.445
949218.6353;0.769950; 1081481.860
950241.6353;0.770179; 1082920.803
951264.6353;0.770409; 1084359.547
952287.6353;0.770633; 1085797.478
953310.6353;0.770863; 1087235.309
954333.6353;0.771090; 1088672.263
955356.6353;0.771317; 1090108.902
956379.6353;0.771544; 1091545.225
957402.6353;0.771771; 1092980.818
958425.6353;0.772000; 1094416.227
959448.6353;0.772229; 1095851.918
960471.6353;0.772455; 1097286.952
961494.6353;0.772686; 1098721.219
962517.6353;0.772912; 1100155.050
963540.6353;0.773140; 1101588.667
964563.6353;0.773368; 1103022.347
965586.6353;0.773594; 1104455.078
966609.6353;0.773819; 1105886.910
967632.6353;0.774048; 1107318.636
968655.6353;0.774272; 1108750.305
969678.6353;0.774497; 1110181.758
970701.6353;0.774726; 1111611.967
971724.6353;0.774953; 1113041.633
972747.6353;0.775176; 1114471.113
973770.6353;0.775404; 1115900.636
974793.6353;0.775629; 1117329.773
975816.6353;0.775856; 1118758.694
976839.6353;0.776082; 1120187.528
977862.6353;0.776312; 1121615.590
978885.6353;0.776536; 1123042.645
979908.6353;0.776766; 1124469.734
980931.6353;0.776991; 1125896.746
981954.6353;0.777219; 1127323.336
982977.6353;0.777446; 1128749.700
984000.6353;0.777671; 1130175.387
985023.6353;0.777898; 1131600.768
986046.6353;0.778124; 1133025.372
987069.6353;0.778348; 1134449.883
988092.6353;0.778571; 1135874.112
989115.6353;0.778799; 1137297.756
990138.6353;0.779027; 1138721.081
991161.6353;0.779251; 1140144.000
992184.6353;0.779475; 1141565.803
993207.6353;0.779705; 1142987.612
994230.6353;0.779929; 1144409.168
995253.6353;0.780157; 1145830.389
996276.6353;0.780384; 1147251.217
997299.6353;0.780610; 1148671.420
998322.6353;0.780836; 1150091.312
999345.6353;0.781064; 1151511.016
1000368.6353;0.781289; 1152930.070
1001391.6353;0.781515; 1154348.396
1002414.6353;0.781742; 1155766.402
1003437.6353;0.781966; 1157184.094
1004460.6353;0.782190; 1158601.708
1005483.6353;0.782415; 1160019.308
1006506.6353;0.782636; 1161436.228
1007529.6353;0.782860; 1162852.431
1008552.6353;0.783089; 1164268.287
1009575.6353;0.783313; 1165683.603
1010598.6353;0.783536; 1167098.626
1011621.6353;0.783761; 1168513.078
1012644.6353;0.783984; 1169927.000
1013667.6353;0.784209; 1171340.633
1014690.6353;0.784433; 1172753.939
1015713.6353;0.784656; 1174166.555
1016736.6353;0.784883; 1175578.826
1017759.6353;0.785102; 1176990.146
1018782.6353;0.785332; 1178401.432
1019805.6353;0.785549; 1179813.232
1020828.6353;0.785776; 1181224.730
1021851.6353;0.785999; 1182635.117
1022874.6353;0.786226; 1184044.898
1023897.6353;0.786445; 1185454.124
1024920.6353;0.786673; 1186863.003
1025943.6353;0.786894; 1188271.471
1026966.6353;0.787117; 1189679.579
1027989.6353;0.787342; 1191087.240
1029012.6353;0.787566; 1192494.632
1030035.6353;0.787791; 1193901.762
1031058.6353;0.788013; 1195308.211
1032081.6353;0.788238; 1196714.264
1033104.6353;0.788455; 1198119.988
1034127.6353;0.788683; 1199525.419
1035150.6353;0.788908; 1200930.495
1036173.6353;0.789128; 1202335.470
1037196.6353;0.789352; 1203739.819
1038219.6353;0.789574; 1205143.645
1039242.6353;0.789796; 1206547.132
1040265.6353;0.790022; 1207950.369
1041288.6353;0.790243; 1209353.231
1042311.6353;0.790464; 1210756.129
1043334.6353;0.790687; 1212158.220
1044357.6353;0.790910; 1213559.974
1045380.6353;0.791136; 1214961.683
1046403.6353;0.791354; 1216362.809
1047426.6353;0.791575; 1217763.418
1048449.6353;0.791803; 1219163.866
1049472.6353;0.792024; 1220563.908
1050495.6353;0.792244; 1221963.285
1051518.6353;0.792471; 1223362.279
1052541.6353;0.792688; 1224760.885
1053564.6353;0.792908; 1226159.019
1054587.6353;0.793129; 1227556.704
1055610.6353;0.793348; 1228954.159
1056633.6353;0.793571; 1230351.231
1057656.6353;0.793793; 1231747.976
1058679.6353;0.794014; 1233144.203
1059702.6353;0.794232; 1234539.892
1060725.6353;0.794460; 1235935.210
1061748.6353;0.794676; 1237329.710
1062771.6353;0.794897; 1238723.599
1063794.6353;0.795119; 1240116.997
1064817.6353;0.795337; 1241510.132
1065840.6353;0.795559; 1242902.660
1066863.6353;0.795775; 1244294.859
1067886.6353;0.795997; 1245686.456
1068909.6353;0.796219; 1247077.822
1069932.6353;0.796439; 1248468.712
1070955.6353;0.796662; 1249859.024
1071978.6353;0.796882; 1251249.084
1073001.6353;0.797104; 1252638.871
1074024.6353;0.797326; 1254030.108
1075047.6353;0.797546; 1255419.853
1076070.6353;0.797769; 1256808.794
1077093.6353;0.797989; 1258197.560
1078116.6353;0.798211; 1259585.760
1079139.6353;0.798430; 1260973.168
1080162.6353;0.798650; 1262359.813
1081185.6353;0.798875; 1263746.308
1082208.6353;0.799090; 1265132.529
1083231.6353;0.799315; 1266519.035
1084254.6353;0.799534; 1267905.503
1085277.6353;0.799754; 1269291.669
1086300.6353;0.799974; 1270677.447
1087323.6353;0.800191; 1272063.542
1088346.6353;0.800411; 1273448.061
1089369.6353;0.800630; 1274832.299
1090392.6353;0.800851; 1276216.242
1091415.6353;0.801072; 1277599.553
1092438.6353;0.801288; 1278982.260
1093461.6353;0.801507; 1280364.989
1094484.6353;0.801727; 1281747.031
1095507.6353;0.801945; 1283129.026
1096530.6353;0.802161; 1284510.392
1097553.6353;0.802382; 1285891.356
1098576.6353;0.802599; 1287271.617
1099599.6353;0.802821; 1288651.759
1100622.6353;0.803041; 1290030.925
1101645.6353;0.803259; 1291410.168
1102668.6353;0.803481; 1292789.251
1103691.6353;0.803699; 1294168.054
1104714.6353;0.803922; 1295546.067
1105737.6353;0.804137; 1296923.864
